date	title	artist	rank
12/5/1970	And The Grass Won't Pay No Mind	Mark Lindsay	52.00
12/5/1970	Beaucoups Of Blues	Ringo Starr	87.00
12/5/1970	Can't Get Over Losing You	Donnie Elbert	98.00
12/5/1970	Cry Me A River	Joe Cocker	30.00
12/5/1970	Green-Eyed Lady	Sugarloaf	29.00
12/5/1970	I Don't Wanna Cry	Ronnie Dyson	65.00
12/5/1970	It Don't Matter To Me	Bread	25.00
12/5/1970	Simply Call It Love	Gene Chandler	83.00
12/5/1970	Somebody's Been Sleeping	100 Proof Aged in Soul	28.00
12/5/1970	Stand By Me	David & Jimmy Ruffin	61.00
12/5/1970	Super Bad (Part 1 & Part 2)	James Brown	32.00
12/5/1970	Sweet Sweetheart	Bobby Vee	88.00
12/5/1970	Sweetheart	Engelbert Humperdinck	53.00
12/5/1970	This Is My Love Song	The Intruders	99.00
12/5/1970	Where Have All Our Heroes Gone	Bill Anderson	93.00
12/12/1970	A Womans' Way	Rozetta Johnson	94.00
12/12/1970	Carolina In My Mind	Crystal Mansion Featuring Johnny Caswell	73.00
12/12/1970	I Am Somebody Part II	Johnnie Taylor	58.00
12/12/1970	Indiana Wants Me	R. Dean Taylor	24.00
12/12/1970	Lady Love	The Klowns	95.00
12/12/1970	Part Time Love	Ann Peebles	64.00
12/12/1970	So Close	Jake Holmes	57.00
12/12/1970	Stoned Cowboy	Fantasy	80.00
12/12/1970	Think About Your Children	Mary Hopkin	87.00
12/12/1970	Where Did All The Good Times Go	Dennis Yost And The Classics IV	69.00
12/19/1970	As The Years Go By	Mashmakhan	58.00
12/19/1970	Chains And Things	B.B. King	50.00
12/19/1970	"Don't Try To Lay No Boogie Woogie On The ""King Of Rock & Roll"""	CROW	67.00
12/19/1970	Engine Number 9	Wilson Pickett	34.00
12/19/1970	Heed The Call	Kenny Rogers & The First Edition	48.00
12/19/1970	Keep On Loving Me (You'll See The Change)	Bobby Bland	89.00
12/19/1970	Let's Work Together	Canned Heat	57.00
12/19/1970	Satin Red And Black Velvet Woman	Dave Mason	97.00
12/19/1970	"See Me, Feel Me"	The Who	43.00
12/19/1970	Whiter Shade Of Pale	R.B. Greaves	82.00
12/19/1970	Who Needs Ya	Steppenwolf	66.00
12/19/1970	Wrap It Up	Archie Bell & The Drells	93.00
12/19/1970	Yellow River	Christie	47.00
12/26/1970	After The Feeling Is Gone	Five Flights Up	89.00
12/26/1970	Big Leg Woman (With A Short Short Mini Skirt)	"Israel ""Popper Stopper"" Tolbert"	65.00
12/26/1970	Carolina In My Mind	James Taylor	67.00
12/26/1970	Coal Miner's Daughter	Loretta Lynn	83.00
12/26/1970	Everything Is Going To Be Alright	Teegarden & Van Winkle	84.00
12/26/1970	Fire And Rain	James Taylor	35.00
12/26/1970	Free To Carry On	The Sandpipers	94.00
12/26/1970	Heaven Help Us All	Stevie Wonder	41.00
12/26/1970	Montego Bay	Bobby Bloom	27.00
12/26/1970	Share The Land	The Guess Who	30.00
12/26/1970	When The Party Is Over	Robert John	75.00
12/26/1970	You Don't Have To Say You Love Me/Patch It Up	Elvis Presley	32.00
1/2/1971	Ace Of Spade	O.V. Wright	68.00
1/2/1971	After Midnight	Eric Clapton	39.00
1/2/1971	Border Song (Holy Moses)/You And Me	Aretha Franklin	44.00
1/2/1971	Help Me Find A Way (To Say I Love You)	Little Anthony And The Imperials	92.00
1/2/1971	I'll Be There	Jackson 5	29.00
1/2/1971	It's All In Your Mind	Clarence Carter	70.00
1/2/1971	Sing High - Sing Low	Anne Murray	83.00
1/2/1971	We've Only Just Begun	Carpenters	28.00
1/9/1971	5-10-15-20 (25-30 Years Of Love)	The Presidents	35.00
1/9/1971	Black Night	Deep Purple	70.00
1/9/1971	Can't Stop Loving You	Tom Jones	34.00
1/9/1971	Do It	Neil Diamond	47.00
1/9/1971	Heartbreak Hotel	Frijid Pink	79.00
1/9/1971	I'm Not My Brothers Keeper	The Flaming Ember	45.00
1/9/1971	Only Love Can Break Your Heart	Neil Young	46.00
1/16/1971	All I Have	The Moments	64.00
1/16/1971	Be My Baby	Andy Kim	39.00
1/16/1971	Gypsy Woman	Brian Hyland	37.00
1/16/1971	He Ain't Heavy...He's My Brother	Neil Diamond	32.00
1/16/1971	I Got To Tell Somebody	Betty Everett	96.00
1/16/1971	No Matter What	Badfinger	30.00
1/16/1971	Now I'm A Woman	Nancy Wilson	97.00
1/16/1971	Paranoid	Black Sabbath	79.00
1/16/1971	Ruby Tuesday	Melanie	58.00
1/16/1971	Stealer	Free	78.00
1/16/1971	There It Goes Again	Barbara And The Uniques	91.00
1/16/1971	We Got To Live Together - Part I	Buddy Miles	86.00
1/16/1971	You Just Can't Win (By Making The Same Mistake)	Gene & Jerry	94.00
1/23/1971	Flesh And Blood	Johnny Cash	69.00
1/23/1971	Gypsy Queen - Part 1	Gypsy	70.00
1/23/1971	Holly Holy	Jr. Walker & The All Stars	75.00
1/23/1971	I Can't Get Next To You	Al Green	71.00
1/23/1971	Morning	Jim Ed Brown	66.00
1/23/1971	Revival (Love Is Everywhere)	The Allman Brothers Band	100.00
1/23/1971	Silver Moon	Michael Nesmith & The First National Band	65.00
1/23/1971	Solution For Pollution	Charles Wright And The Watts 103rd Street Rhythm Band	96.00
1/23/1971	Way Back Home	The Jazz Crusaders	92.00
1/30/1971	Are You My Woman? (Tell Me So)	The Chi-lites	76.00
1/30/1971	Church Street Soul Revival	Tommy James	74.00
1/30/1971	Does Anybody Really Know What Time It Is?	Chicago	24.00
1/30/1971	Domino	Van Morrison	32.00
1/30/1971	If You Were Mine	Ray Charles	69.00
1/30/1971	Mean Mistreater	Grand Funk Railroad	70.00
1/30/1971	Most Of All	B.J. Thomas	61.00
1/30/1971	One Man Band	Three Dog Night	30.00
1/30/1971	Problem Child	Mark Lindsay	80.00
1/30/1971	River Deep - Mountain High	The Supremes & Four Tops	29.00
1/30/1971	San Bernadino	Christie	100.00
1/30/1971	Shoes	Brook Benton With The Dixie Flyers	67.00
1/30/1971	The Green Grass Starts To Grow	Dionne Warwick	63.00
1/30/1971	The Tears Of A Clown	Smokey Robinson & The Miracles	38.00
1/30/1971	Where Are We Going	Bobby Bloom	84.00
2/6/1971	(Don't Worry) If There's A Hell Below We're All Going To Go	Curtis Mayfield	53.00
2/6/1971	Black Magic Woman	Santana	24.00
2/6/1971	Fly Little White Dove Fly	The Bells	99.00
2/6/1971	For The Good Times	Ray Price	28.00
2/6/1971	Games	Redeye	38.00
2/6/1971	I Dig Everything About You	The Mob	83.00
2/6/1971	Mixed Up Guy	Joey Scarbury	80.00
2/6/1971	Pay To The Piper	Chairman Of The Board	37.00
2/6/1971	Stoned Love	The Supremes	26.00
2/6/1971	Stop The War Now	Edwin Starr	52.00
2/6/1971	They Can't Take Away Our Music	Eric Burdon And War	62.00
2/6/1971	We'll Have It Made	The Spinners	89.00
2/13/1971	Carolina Day	Livingston Taylor	93.00
2/13/1971	I Think I Love You	The Partridge Family Starring Shirley Jones Featuring David Cassidy	25.00
2/13/1971	I'll Be Home	Vikki Carr	96.00
2/13/1971	Immigrant Song	Led Zeppelin	34.00
2/13/1971	It's Up To You Petula	Edison Lighthouse	77.00
2/13/1971	Mother	John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band	55.00
2/13/1971	One Night Stand	The Magic Lanterns	74.00
2/13/1971	The Glory Of Love	The Dells	92.00
2/20/1971	(She's A) Very Lovely Woman/The Long Way Around	Linda Ronstadt	75.00
2/20/1971	Beautiful People	The New Seekers featuring Eve Graham	69.00
2/20/1971	Born To Wander	Rare Earth	35.00
2/20/1971	Bridget The Midget (The Queen Of The Blues)	Ray Stevens	62.00
2/20/1971	Cheryl Moana Marie	John Rowles	66.00
2/20/1971	Freedom	The Isley Brothers	72.00
2/20/1971	"Get Up, Get Into It, Get Involved (Pt. 1)"	James Brown	48.00
2/20/1971	I Need You	The Friends Of Distinction	83.00
2/20/1971	I Really Don't Want To Know/There Goes My Everything	Elvis Presley	31.00
2/20/1971	Love The One You're With	Stephen Stills	38.00
2/20/1971	Make Me Happy	Bobby Bloom	80.00
2/20/1971	Maria (You Were The Only One)	Jimmy Ruffin	97.00
2/20/1971	You're A Big Girl Now	The Stylistics	76.00
2/27/1971	(I Can Feel Those Vibrations) This Love Is Real	Jackie Wilson	70.00
2/27/1971	Apeman	The Kinks	61.00
2/27/1971	My Sweet Lord	Billy Preston	90.00
2/27/1971	My Sweet Lord/Isn't It A Pity	George Harrison	36.00
2/27/1971	One Less Bell To Answer	The 5th Dimension	39.00
2/27/1971	Remember Me	Diana Ross	31.00
2/27/1971	Ride A White Swan	Tyrannosaurus Rex	89.00
2/27/1971	Stoney End	Barbra Streisand	30.00
2/27/1971	Whole Lotta Love	King Curtis & The Kingpins	78.00
2/27/1971	Whole Lotta Love	C.C.S.	64.00
2/27/1971	You're The One	The Three Degrees	79.00
2/27/1971	Your Song	Elton John	26.00
3/6/1971	Beginning To Feel The Pain	Mac Davis	98.00
3/6/1971	Bell Bottom Blues	Derek & The Dominos	91.00
3/6/1971	Fresh As A Daisy	Emitt Rhodes	63.00
3/6/1971	God Bless Whoever Sent You	The Originals	62.00
3/6/1971	Groove Me	King Floyd	25.00
3/6/1971	He Called Me Baby	Candi Staton	76.00
3/6/1971	I'm So Proud	The Main Ingredient	52.00
3/6/1971	If I Were Your Woman	Gladys Knight And The Pips	33.00
3/6/1971	It's Impossible	Perry Como	64.00
3/6/1971	Keep The Customer Satisfied	Gary Puckett	71.00
3/6/1971	Let Your Love Go	Bread	47.00
3/6/1971	Lonely Days	Bee Gees	41.00
3/6/1971	One Man's Leftovers (Is Another Man's Feast)	100 Proof Aged in Soul	96.00
3/6/1971	Somebody's Watching You	Little Sister	54.00
3/6/1971	Super Highway	Ballin' Jack	93.00
3/6/1971	Tulsa	Billy Joe Royal	86.00
3/6/1971	We Gotta Get You A Woman	Runt	57.00
3/6/1971	When I'm Dead And Gone	McGuinness Flint	77.00
3/6/1971	Wild World	The Gentrys	97.00
3/13/1971	(Do The) Push And Pull Part I	Rufus Thomas	37.00
3/13/1971	1900 Yesterday	Liz Damon's Orient Express	56.00
3/13/1971	Ain't It A Sad Thing	R. Dean Taylor	66.00
3/13/1971	Bed Of Rose's	The Statler Brothers	59.00
3/13/1971	Celia Of The Seals	Donovan	84.00
3/13/1971	Didn't It Look So Easy	The Stairsteps	81.00
3/13/1971	Everything Is Good About You	The Lettermen	74.00
3/13/1971	Hang On To Your Life	The Guess Who	48.00
3/13/1971	I Can't Stop	The Osmond Brothers	96.00
3/13/1971	I Hear You Knocking	Dave Edmunds	26.00
3/13/1971	Just Seven Numbers (Can Straighten Out My Life)	Four Tops	47.00
3/13/1971	"Precious, Precious"	Jackie Moore	46.00
3/13/1971	Spinning Wheel (Pt. 1)	James Brown	90.00
3/13/1971	The Look Of Love	Isaac Hayes	79.00
3/13/1971	Triangle Of Love (Hey Diddle Diddle)	The Presidents	68.00
3/13/1971	What About Me	Quicksilver Messenger Service	100.00
3/13/1971	Your Time To Cry	Joe Simon	54.00
3/20/1971	Amazing Grace	Judy Collins	31.00
3/20/1971	I Don't Know How To Love Him/Everything's Alright	The Kimberlys	99.00
3/20/1971	Jody's Got Your Girl And Gone	Johnnie Taylor	43.00
3/20/1971	Knock Three Times	Dawn	34.00
3/20/1971	My Heart Is Yours	Wilbert Harrison	98.00
3/20/1971	Rose Garden	Lynn Anderson	30.00
3/20/1971	The Morning Of Our Lives	Arkade	60.00
3/20/1971	Watching Scotty Grow	Bobby Goldsboro	36.00
3/27/1971	(Theme From) Love Story	Henry Mancini And His Orchestra	27.00
3/27/1971	Burning Bridges	The Mike Curb Congregation	46.00
3/27/1971	Country Road	James Taylor	41.00
3/27/1971	D.O.A.	Bloodrock	55.00
3/27/1971	Don't Let The Green Grass Fool You	Wilson Pickett	33.00
3/27/1971	Don't Make Me Pay For His Mistakes	Z.Z. Hill	62.00
3/27/1971	I Pity The Fool	Ann Peebles	85.00
3/27/1971	I'd Rather Love You	Charley Pride	79.00
3/27/1971	Mr. Bojangles	Nitty Gritty Dirt Band	26.00
3/27/1971	Sweet Mary	Wadsworth Mansion	29.00
3/27/1971	Theme From Love Story	Francis Lai And His Orchestra	42.00
4/3/1971	Adrienne	Tommy James	93.00
4/3/1971	After The Fire Is Gone	Conway Twitty & Loretta Lynn	56.00
4/3/1971	Ain't Got Time	The Impressions	59.00
4/3/1971	Angel Baby	Dusk	66.00
4/3/1971	Chairman Of The Board	Chairman Of The Board	48.00
4/3/1971	Cherish What Is Dear To You (While It's Near to You)	Freda Payne	51.00
4/3/1971	Give It To Me	The Mob	71.00
4/3/1971	Have You Ever Seen The Rain/Hey Tonight	Creedence Clearwater Revival	24.00
4/3/1971	If You Could Read My Mind	Gordon Lightfoot	36.00
4/3/1971	Lonely Teardrops	Brian Hyland	67.00
4/3/1971	Mama's Pearl	Jackson 5	30.00
4/3/1971	Soldier's Last Letter	Merle Haggard And The Strangers	90.00
4/10/1971	Amos Moses	Jerry Reed	36.00
4/10/1971	Cried Like A Baby	Bobby Sherman	31.00
4/10/1971	I Was Wondering	The Poppy Family	100.00
4/10/1971	I'm Girl Scoutin'	The Intruders	88.00
4/10/1971	Love Makes The World Go Round	Kiki Dee	87.00
4/10/1971	One Bad Apple	The Osmonds	34.00
4/10/1971	When You Dance I Can Really Love	Neil Young	93.00
4/17/1971	1927 Kansas City	Mike Reilly	88.00
4/17/1971	Ask Me No Questions	B.B. King	68.00
4/17/1971	"Chirpy Chirpy, Cheep Cheep"	Lally Stott	92.00
4/17/1971	Free	Chicago	41.00
4/17/1971	Love Makes The World Go Round	Odds & Ends	83.00
4/17/1971	Nickel Song	The New Seekers featuring Eve Graham	81.00
4/17/1971	Sit Yourself Down	Stephen Stills	76.00
4/17/1971	Snow Blind Friend	Steppenwolf	79.00
4/17/1971	Stop! In The Name Of Love	Margie Joseph	96.00
4/17/1971	When There's No You	Engelbert Humperdinck	70.00
4/17/1971	Who Gets The Guy	Dionne Warwick	78.00
4/17/1971	"You And Your Folks, Me And My Folks"	Funkadelic	91.00
4/17/1971	You're All I Need To Get By	Aretha Franklin	34.00
4/24/1971	Blue Money	Van Morrison	38.00
4/24/1971	Dream Baby (How Long Must I Dream)	Glen Campbell	50.00
4/24/1971	Empty Arms	Sonny James	93.00
4/24/1971	Heavy Makes You Happy (Sha-Na-Boom Boom)	The Staple Singers	48.00
4/24/1971	Hot Pants	Salvage	71.00
4/24/1971	Man In Black	Johnny Cash	70.00
4/24/1971	Oye Como Va	Santana	32.00
4/24/1971	Proud Mary	Ike & Tina Turner	23.00
4/24/1971	Soul Power (Pt. 1)	James Brown	44.00
4/24/1971	Temptation Eyes	The Grass Roots	28.00
4/24/1971	Tongue In Cheek	Sugarloaf	75.00
4/24/1971	What Is Life	George Harrison	33.00
4/24/1971	"Where Did They Go, Lord/Rags To Riches"	Elvis Presley	61.00
5/1/1971	(Where Do I Begin) Love Story	Andy Williams	24.00
5/1/1971	Be My Baby	Cissy Houston	92.00
5/1/1971	Could I Forget You	Tyrone Davis	64.00
5/1/1971	Doesn't Somebody Want To Be Wanted	The Partridge Family Starring Shirley Jones Featuring David Cassidy	20.00
5/1/1971	For All We Know	Carpenters	27.00
5/1/1971	Happy	Hog Heaven	98.00
5/1/1971	Help Me Make It Through The Night	Sammi Smith	28.00
5/1/1971	I Wanna Be Free	Loretta Lynn	94.00
5/1/1971	I Wish I Were	Andy Kim	63.00
5/1/1971	If It's Real What I Feel	Jerry Butler Featuring Brenda Lee Eager	83.00
5/1/1971	"Love's Lines, Angles And Rhymes"	The 5th Dimension	39.00
5/1/1971	Music Is Love	David Crosby	95.00
5/1/1971	That Evil Child	B.B. King	97.00
5/1/1971	Time And Love	Barbra Streisand	56.00
5/8/1971	Be Good To Me Baby	Luther Ingram	97.00
5/8/1971	C'mon	Poco	72.00
5/8/1971	Gotta See Jane	R. Dean Taylor	67.00
5/8/1971	I Think Of You	Perry Como	57.00
5/8/1971	Jumpin' Jack Flash	Johnny Winter	89.00
5/8/1971	L.A. Goodbye	The Ides Of March	73.00
5/8/1971	Me And Bobby McGee	Janis Joplin	29.00
5/8/1971	Nevada Fighter	Michael Nesmith & The First National Band	70.00
5/8/1971	No Love At All	B.J. Thomas	31.00
5/8/1971	"Oh, Singer"	Jeannie C. Riley	74.00
5/8/1971	She's A Lady	Tom Jones	26.00
5/8/1971	Someone Who Cares	Kenny Rogers & The First Edition	60.00
5/8/1971	The Animal Trainer And The Toad	Mountain	76.00
5/8/1971	"The Electronic Magnetism (That's Heavy, Baby)"	Solomon Burke	96.00
5/8/1971	Wild World	Cat Stevens	23.00
5/15/1971	A Mama And A Papa	Ray Stevens	82.00
5/15/1971	Battle Hymn Of Lt. Calley	C Company Featuring Terry Nelson	40.00
5/15/1971	Eighteen	Alice Cooper	41.00
5/15/1971	Friends	Elton John	44.00
5/15/1971	I Play And Sing	Dawn	45.00
5/15/1971	Just My Imagination (Running Away With Me)	The Temptations	23.00
5/15/1971	One Toke Over The Line	Brewer And Shipley	28.00
5/15/1971	Pushbike Song	The Mixtures	66.00
5/15/1971	Reach Out Your Hand	The Brotherhood Of Man	77.00
5/15/1971	There's So Much Love All Around Me	The Three Degrees	98.00
5/22/1971	Another Day/Oh Woman Oh Why	Paul McCartney	39.00
5/22/1971	Baby Let Me Kiss You	King Floyd	47.00
5/22/1971	Be Nice To Me	Runt-Todd Rundgren	71.00
5/22/1971	Do Me Right	Detroit Emeralds	55.00
5/22/1971	Don't Change On Me	Ray Charles	48.00
5/22/1971	Freedom	Jimi Hendrix	66.00
5/22/1971	I'm Comin' Home	Dave Edmunds	75.00
5/22/1971	We Can Work It Out	Stevie Wonder	32.00
5/22/1971	We Were Always Sweethearts	Boz Scaggs	81.00
5/29/1971	Funky Music Sho Nuff Turns Me On	Edwin Starr	73.00
5/29/1971	I'll Erase Away Your Pain	Whatnauts	71.00
5/29/1971	Power To The People	John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band	37.00
5/29/1971	Red Eye Blues	Red Eye	78.00
5/29/1971	Sea Cruise	Johnny Rivers	84.00
5/29/1971	"Try Some, Buy Some"	Ronnie Spector	77.00
5/29/1971	What's Going On	Marvin Gaye	36.00
6/5/1971	Bad Water	The Raelettes	68.00
6/5/1971	Booty Butt	The Ray Charles Orchestra	52.00
6/5/1971	Feelin' Alright	Grand Funk Railroad	63.00
6/5/1971	Help Me Make It Through The Night	Joe Simon	69.00
6/5/1971	I Don't Blame You At All	Smokey Robinson & The Miracles	38.00
6/5/1971	I Don't Wanna Lose You	Johnnie Taylor	86.00
6/5/1971	I Love You For All Seasons	The Fuzz	33.00
6/5/1971	Stay Awhile	The Bells	24.00
6/5/1971	Timothy	The Buoys	32.00
6/5/1971	Your Love (Means Everything to Me)	Charles Wright And The Watts 103rd Street Rhythm Band	73.00
6/5/1971	Your Love Is So Doggone Good	The Whispers	93.00
6/12/1971	And I Love You So	Bobby Goldsboro	83.00
6/12/1971	Been Too Long On The Road	Mark Lindsay	98.00
6/12/1971	Brownsville	Joy Of Cooking	67.00
6/12/1971	Call Me Up In Dreamland	Van Morrison	95.00
6/12/1971	Flim Flam Man	Barbra Streisand	82.00
6/12/1971	Hot Love	T. Rex	76.00
6/12/1971	I Cried	James Brown	66.00
6/12/1971	If	Bread	25.00
6/12/1971	It's So Hard For Me To Say Good-Bye	Eddie Kendricks	88.00
6/12/1971	L.A. International Airport	Susan Raye	61.00
6/12/1971	Put Your Hand In The Hand	Ocean	24.00
6/12/1971	Reach Out I'll Be There	Diana Ross	39.00
6/12/1971	The Court Room	Clarence Carter	65.00
6/12/1971	Toast And Marmalade For Tea	Tin Tin	40.00
6/19/1971	(For God's Sake) Give More Power To The People	The Chi-lites	43.00
6/19/1971	13 Questions	Seatrain	51.00
6/19/1971	California Earthquake	Norman Greenbaum	93.00
6/19/1971	Chick-A-Boom (Don't Ya Jes' Love It)	Daddy Dewdrop	22.00
6/19/1971	Cry Baby	Janis Joplin	55.00
6/19/1971	Help The Poor	B.B. King	90.00
6/19/1971	Here Comes The Sun	Richie Havens	26.00
6/19/1971	I Won't Mention It Again	Ray Price	45.00
6/19/1971	I'm Sorry	Bobby Bland	97.00
6/19/1971	Love Her Madly	The Doors	25.00
6/19/1971	Love's Made A Fool Of You	Cochise	96.00
6/19/1971	Mandrill	Mandrill	94.00
6/19/1971	Never Can Say Goodbye	Jackson 5	30.00
6/19/1971	The Drum	Bobby Sherman	41.00
6/19/1971	The Language Of Love	The Intrigues	100.00
6/19/1971	Wholesale Love	Buddy Miles	71.00
6/19/1971	Woodstock	Matthews' Southern Comfort	40.00
6/19/1971	You're My Man	Lynn Anderson	63.00
6/26/1971	Caught In A Dream	Alice Cooper	94.00
6/26/1971	Cool Aid	Paul Humphrey & His Cool Aid Chemists	40.00
6/26/1971	I Am...I Said/Done Too Soon	Neil Diamond	66.00
6/26/1971	I Don't Know How To Love Him	Yvonne Elliman	35.00
6/26/1971	Life/Only Believe	Elvis Presley	60.00
6/26/1971	Lowdown	Chicago	41.00
6/26/1971	Me And My Arrow	Nilsson	46.00
6/26/1971	Me And You And A Dog Named Boo	Lobo	27.00
6/26/1971	Ooh Poo Pah Doo	Ike & Tina Turner	67.00
6/26/1971	Puff Of Smoke	Roy Head	96.00
6/26/1971	Right On The Tip Of My Tongue	Brenda & The Tabulations	32.00
6/26/1971	Superstar	Murray Head With The Trinidad Singers	22.00
6/26/1971	What You See Is What You Get	Stoney & Meatloaf	74.00
7/3/1971	Bridge Over Troubled Water/Brand New Me	Aretha Franklin	33.00
7/3/1971	Give Up Your Guns	The Buoys	84.00
7/3/1971	I Don't Know How To Love Him	Helen Reddy	32.00
7/3/1971	I Need Someone (To Love Me)	Z.Z. Hill	86.00
7/3/1971	I'll Meet You Halfway	The Partridge Family Starring Shirley Jones Featuring David Cassidy	21.00
7/3/1971	Joy To The World	Three Dog Night	31.00
7/3/1971	Spinning Around (I Must Be Falling In Love)	The Main Ingredient	58.00
7/3/1971	Take My Hand	Kenny Rogers & The First Edition	91.00
7/3/1971	Tarkio Road	Brewer And Shipley	69.00
7/3/1971	The Sound Of Silence	Peaches & Herb	100.00
7/3/1971	You Gotta Have Love In Your Heart	The Supremes & Four Tops	55.00
7/10/1971	Albert Flasher/Broken	The Guess Who	42.00
7/10/1971	Can't Find The Time	Rose Colored Glass	67.00
7/10/1971	Don't Knock My Love - Pt. 1	Wilson Pickett	26.00
7/10/1971	Double Lovin'	The Osmonds	23.00
7/10/1971	Light Sings	The 5th Dimension	59.00
7/10/1971	Mother Nature's Wine	Sugarloaf	88.00
7/10/1971	Nathan Jones	The Supremes	27.00
7/10/1971	Near You	Boz Scaggs	96.00
7/10/1971	Never Can Say Goodbye	Isaac Hayes	31.00
7/10/1971	Never Dreamed You'd Leave In Summer	Stevie Wonder	78.00
7/10/1971	Sweet And Innocent	Donny Osmond of The Osmonds	24.00
7/17/1971	Brown Sugar	The Rolling Stones	31.00
7/17/1971	Day By Day (Every Minute of The Hour)	The Continental 4	84.00
7/17/1971	Deep Enough For Me	Ocean	73.00
7/17/1971	Escape-ism (Part 1)	James Brown	41.00
7/17/1971	House At Pooh Corner	Nitty Gritty Dirt Band	65.00
7/17/1971	It Don't Come Easy	Ringo Starr	28.00
7/17/1971	Love Me	The Rascals	95.00
7/17/1971	We're All Goin' Home	Bobby Bloom	99.00
7/24/1971	Ajax Liquor Store	Hudson and Landry	53.00
7/24/1971	Do You Know What Time It Is?	P-Nut Gallery	63.00
7/24/1971	How Did We Lose It Baby	Jerry Butler	85.00
7/24/1971	I Been Moved	Andy Kim	97.00
7/24/1971	I Love You Lady Dawn	The Bells	72.00
7/24/1971	In These Changing Times	Four Tops	75.00
7/24/1971	Melting Pot	Booker T. & The MG's	81.00
7/24/1971	Suspicious Minds	Dee Dee Warwick	82.00
7/24/1971	Want Ads	The Honey Cone	38.00
7/24/1971	"When You're Hot, You're Hot"	Jerry Reed	22.00
7/24/1971	You're The Reason Why	The Ebonys	65.00
7/31/1971	"Bright Lights, Big City"	Sonny James	91.00
7/31/1971	Follow Me	Mary Travers	63.00
7/31/1971	High Time We Went/Black-Eyed Blues	Joe Cocker	44.00
7/31/1971	Love Is Life	"Earth, Wind & Fire"	93.00
7/31/1971	"Mare, Take Me Home"	Matthews' Southern Comfort	96.00
7/31/1971	Puppet Man/Resurrection Shuffle	Tom Jones	50.00
7/31/1971	Rainy Days And Mondays	Carpenters	25.00
7/31/1971	Talking In Your Sleep	Gordon Lightfoot	66.00
7/31/1971	Walk Away	The James Gang	60.00
7/31/1971	When My Little Girl Is Smiling	Steve Alaimo	72.00
7/31/1971	When You Get Right Down To It	Ronnie Dyson	94.00
8/7/1971	Change Partners	Stephen Stills	67.00
8/7/1971	Funky Nassau-Part I	The Beginning Of The End	34.00
8/7/1971	Gonna Be Alright Now	Gayle McCormick	84.00
8/7/1971	Hey! Love/Over And Over	The Delfonics	63.00
8/7/1971	Hill Where The Lord Hides	Chuck Mangione	78.00
8/7/1971	It's About Time	The Dillards	92.00
8/7/1971	"Mozart Symphony No. 40 In G Minor K.550, 1st Movement"	Waldo De Los Rios	71.00
8/7/1971	She's Not Just Another Woman	The 8th Day	36.00
8/7/1971	That's The Way I've Always Heard It Should Be	Carly Simon	35.00
8/7/1971	The Last Time I Saw Her	Glen Campbell	69.00
8/7/1971	Treat Her Like A Lady	Cornelius Brothers & Sister Rose	26.00
8/7/1971	Wild Horses	The Rolling Stones	49.00
8/7/1971	You've Got To Earn It	The Staple Singers	97.00
8/14/1971	Chicago	Graham Nash	46.00
8/14/1971	Crazy About The La La La	Smokey Robinson & The Miracles	58.00
8/14/1971	Get It On	Chase	35.00
8/14/1971	Here Comes That Rainy Day Feeling Again	The Fortunes	32.00
8/14/1971	I Don't Want To Do Wrong	Gladys Knight And The Pips	33.00
8/14/1971	I'm A Believer	Neil Diamond	66.00
8/14/1971	Indian Summer	Audience	74.00
8/14/1971	Like An Open Door	The Fuzz	77.00
8/14/1971	Love Me	The Impressions	94.00
8/14/1971	Love Means (You Never Have To Say You're Sorry)	Sounds Of Sunshine	48.00
8/14/1971	One-Way Ticket	Tyrone Davis	78.00
8/14/1971	Rainy Jane	Davy Jones	53.00
8/14/1971	Sooner Or Later	The Grass Roots	24.00
8/14/1971	Watching The River Flow	Bob Dylan	50.00
8/21/1971	California On My Mind	Morning Mist	96.00
8/21/1971	Don't Pull Your Love	"Hamilton, Joe Frank & Reynolds"	31.00
8/21/1971	Double Barrel	Dave & Ansil Collins	40.00
8/21/1971	Good Enough To Be Your Wife	Jeannie C. Riley	97.00
8/21/1971	He's Gonna Step On You Again	John Kongos	93.00
8/21/1971	He's So Fine	Jody Miller	56.00
8/21/1971	Hymn 43	Jethro Tull	91.00
8/21/1971	It's The Real Thing - Pt. I	The Electric Express	81.00
8/21/1971	Resurrection Shuffle	"Ashton, Gardner & Dyke"	73.00
8/21/1971	She Didn't Do Magic/I'm The Only One	Lobo	78.00
8/21/1971	Summer Sand	Dawn	76.00
8/21/1971	Top Forty	Sha Na Na	84.00
8/21/1971	We Are Neighbors	The Chi-lites	70.00
8/21/1971	You're The One For Me	Joe Simon	71.00
8/28/1971	Bring The Boys Home	Freda Payne	28.00
8/28/1971	Come Back Home	Bobby Goldsboro	73.00
8/28/1971	I'm Just Me	Charley Pride	94.00
8/28/1971	It's Summer	The Temptations	69.00
8/28/1971	It's Too Late/I Feel The Earth Move	Carole King	21.00
8/28/1971	Love The One You're With	The Isley Brothers	37.00
8/28/1971	Lucky Me	The Moments	98.00
8/28/1971	Never Ending Song Of Love	Delaney & Bonnie & Friends	24.00
8/28/1971	Rings	Cymarron	29.00
